ElimB	EunlBeff	EunlB
0.98189	0.98066	0.98111
0.98580	0.98736	0.98769
0.98988	0.99204	0.99225
0.99377	0.99509	0.99523
0.99666	0.99699	0.99708
0.65657	0.65285	0.65555
0.65657	0.65285	0.65555
0.77957	0.78619	0.79010
0.81244	0.81923	0.82291
0.87099	0.87370	0.87668
0.91444	0.91311	0.91551
0.94048	0.93584	0.93757
0.95859	0.95476	0.95604
0.97063	0.96846	0.96959
0.98141	0.97929	0.98007
0.98637	0.98686	0.98744
0.99001	0.99249	0.99292
0.99401	0.99659	0.99685
0.65400	0.65065	0.65548
0.65400	0.65065	0.65548
0.78196	0.78558	0.79079
0.81367	0.81850	0.82380
0.87085	0.87381	0.87832
0.91531	0.91473	0.91783
0.93771	0.93720	0.94007
0.95894	0.95660	0.95832
0.97150	0.97002	0.97132
0.98241	0.98013	0.98102
0.98582	0.98688	0.98756
0.99003	0.99157	0.99223
0.99463	0.99510	0.99541
0.64775	0.65247	0.66134
0.64775	0.65247	0.66134
0.77447	0.78610	0.79468
0.80770	0.81782	0.82599
0.87194	0.87260	0.87800
0.91366	0.91216	0.91677
0.93663	0.93492	0.93925
0.95855	0.95555	0.95808
0.97124	0.96966	0.97162
0.98076	0.98003	0.98167
0.98559	0.98726	0.98831
0.98721	0.99158	0.99284
0.99379	0.99525	0.99571
0.63833	0.64303	0.65758
0.63833	0.64303	0.65758
0.76869	0.78179	0.79535
0.79829	0.81455	0.82882
0.86598	0.87478	0.88398
0.90920	0.91608	0.92367
0.93546	0.93996	0.94569
0.95598	0.95935	0.96337
0.97031	0.97315	0.97557
0.97994	0.98228	0.98426
0.98496	0.98854	0.98976
0.98495	0.99180	0.99333
0.99355	0.99501	0.99544
0.62197	0.63955	0.66283
0.62197	0.63955	0.66283
0.75428	0.77150	0.79356
0.79341	0.80680	0.82611
0.85751	0.86536	0.88017
0.90711	0.90927	0.91930
0.92948	0.93155	0.94116
0.95412	0.95312	0.95898
0.96625	0.96654	0.97161
0.97763	0.97712	0.98105
0.98539	0.98556	0.98749
0.98292	0.98910	0.99218
0.99317	0.99436	0.99554
0.59422	0.61429	0.65720
0.59422	0.61429	0.65720
0.74431	0.76238	0.79582
0.77402	0.79569	0.83029
0.84910	0.86424	0.88651
0.89345	0.90728	0.92571
0.92472	0.93343	0.94672
0.95105	0.95553	0.96320
0.96562	0.96875	0.97442
0.97423	0.97735	0.98248
0.98360	0.98535	0.98778
0.97949	0.98786	0.99151
0.99300	0.99270	0.99408
0.54310	0.58635	0.66120
0.54310	0.58635	0.66120
0.70572	0.73263	0.79720
0.73807	0.76748	0.83243
0.81740	0.84304	0.89104
0.85730	0.88201	0.93207
0.91079	0.92947	0.95354
0.94000	0.95438	0.96962
0.95603	0.96884	0.97984
0.96724	0.97833	0.98651
0.98086	0.98684	0.99036
0.97197	0.98783	0.99265
0.59431	0.64873	0.80473
0.65167	0.70166	0.83662
0.71494	0.75660	0.88799
0.78472	0.81188	0.92423
0.86987	0.88955	0.94434
0.90950	0.92264	0.96079
0.93201	0.94259	0.97257
0.94898	0.95557	0.98148
0.97121	0.97392	0.98763
0.95558	0.97301	0.99217
0.34185	0.35258	0.54145
0.51621	0.53809	0.63063
0.64349	0.66363	0.71737
0.73612	0.75226	0.78881
0.53501	0.52023	0.76223
0.69236	0.70372	0.82657
0.78469	0.79623	0.87790
0.16607	0.17813	0.29716
0.29401	0.31334	0.37843
0.39872	0.41474	0.45216
0.50920	0.52063	0.54145
0.60911	0.61806	0.63063
0.70325	0.70831	0.71737
0.77582	0.78180	0.78881
0.83830	0.84234	0.84788
0.88633	0.88925	0.89363
0.92373	0.92486	0.92821
0.21973	0.21297	0.42377
0.38414	0.40137	0.51012
0.52226	0.54258	0.59836
0.64137	0.65460	0.68686
0.73003	0.73897	0.76223
0.80157	0.80836	0.82657
0.51917	0.52096	0.66177
0.65495	0.66550	0.74293
0.74847	0.75947	0.81274
0.82134	0.82928	0.86793
0.87551	0.88123	0.90998
0.60371	0.57081	0.80184
0.81598	0.81795	0.90442
0.73667	0.73326	0.85978
0.60371	0.57081	0.80184
0.12558	0.14058	0.20645
0.16368	0.17997	0.23271
0.25736	0.27000	0.29716
0.35549	0.36459	0.37843
0.43851	0.44414	0.45216
0.53007	0.53700	0.54145
0.62208	0.62787	0.63063
0.71445	0.71548	0.71737
0.78484	0.78736	0.78881
0.84468	0.84658	0.84788
0.89172	0.89252	0.89363
0.92789	0.92735	0.92821
0.14466	0.14906	0.27645
0.27076	0.28611	0.35342
0.37162	0.38662	0.42377
0.47530	0.48974	0.51012
0.57547	0.58658	0.59836
0.67497	0.67882	0.68686
0.75347	0.75625	0.76223
0.81929	0.82159	0.82657
0.87324	0.87387	0.87790
0.91402	0.91454	0.91773
0.24248	0.24451	0.39906
0.39812	0.40810	0.48114
0.51834	0.52753	0.56922
0.63304	0.63713	0.66177
0.71934	0.72459	0.74293
0.79397	0.79888	0.81274
0.40234	0.40134	0.55379
0.56735	0.57503	0.64666
0.67450	0.68408	0.72949
0.59098	0.58873	0.71382
0.70803	0.70836	0.78825
0.79049	0.79087	0.85001
0.79590	0.78304	0.89531
0.70499	0.67997	0.84594
0.08405	0.09877	0.14047
0.08405	0.09877	0.14047
0.17298	0.18441	0.20645
0.20797	0.21669	0.23271
0.28389	0.28907	0.29716
0.37036	0.37476	0.37843
0.44548	0.45018	0.45216
0.53712	0.54050	0.54145
0.62615	0.63011	0.63063
0.71715	0.71697	0.71737
0.78780	0.78852	0.78881
0.84696	0.84761	0.84788
0.89320	0.89338	0.89363
0.92929	0.92800	0.92821
0.09716	0.10636	0.19160
0.13226	0.14332	0.21595
0.22534	0.23794	0.27645
0.32675	0.33588	0.35342
0.40658	0.41388	0.42377
0.49658	0.50502	0.51012
0.58819	0.59523	0.59836
0.68175	0.68469	0.68686
0.75977	0.76066	0.76223
0.82579	0.82514	0.82657
0.87631	0.87669	0.87790
0.91747	0.91672	0.91773
0.13062	0.13059	0.26414
0.25583	0.26805	0.33436
0.35659	0.36466	0.39906
0.45752	0.46204	0.48114
0.55465	0.55778	0.56922
0.65239	0.65445	0.66177
0.73465	0.73745	0.74293
0.80696	0.80838	0.81274
0.86283	0.86431	0.86793
0.90677	0.90711	0.90998
0.25541	0.26013	0.38683
0.39793	0.40741	0.46683
0.51552	0.52172	0.55379
0.62128	0.62692	0.64666
0.71013	0.71495	0.72949
0.78661	0.79110	0.80184
0.26306	0.24497	0.45663
0.44329	0.45100	0.54069
0.58207	0.58627	0.63125
0.67866	0.68262	0.71382
0.76387	0.76440	0.78825
0.83219	0.83082	0.85001
0.88324	0.88432	0.89930
0.49889	0.49661	0.62388
0.63612	0.64042	0.70784
0.73093	0.73472	0.78351
0.80713	0.80925	0.84594
0.86538	0.86659	0.89531
0.53103	0.50387	0.71478
0.67477	0.68092	0.79240
0.76951	0.78194	0.85176
0.83552	0.84569	0.89633
0.11062	0.12167	0.14047
0.11062	0.12167	0.14047
0.19389	0.19866	0.20645
0.22196	0.22680	0.23271
0.29182	0.29461	0.29716
0.37433	0.37753	0.37843
0.44955	0.45168	0.45216
0.53990	0.54130	0.54145
0.62916	0.63051	0.63063
0.71818	0.71731	0.71737
0.78834	0.78875	0.78881
0.84784	0.84783	0.84788
0.89426	0.89357	0.89363
0.92902	0.92816	0.92821
0.14363	0.15498	0.19160
0.18019	0.18977	0.21595
0.25709	0.26341	0.27645
0.34077	0.34767	0.35342
0.41416	0.42069	0.42377
0.50234	0.50868	0.51012
0.59085	0.59757	0.59836
0.68454	0.68636	0.68686
0.76190	0.76182	0.76223
0.82559	0.82620	0.82657
0.87802	0.87753	0.87790
0.91789	0.91743	0.91773
0.11225	0.11771	0.20791
0.20280	0.21558	0.26414
0.30677	0.31393	0.33436
0.38454	0.38762	0.39906
0.47253	0.47508	0.48114
0.56633	0.56579	0.56922
0.65942	0.65961	0.66177
0.74084	0.74109	0.74293
0.81146	0.81131	0.81274
0.86645	0.86669	0.86793
0.90897	0.90898	0.90998
0.11802	0.11400	0.25663
0.24467	0.25551	0.32429
0.34287	0.35204	0.38683
0.44516	0.44900	0.46683
0.54094	0.54355	0.55379
0.63846	0.64015	0.64666
0.72115	0.72439	0.72949
0.79641	0.79784	0.80184
0.85641	0.85650	0.85978
0.90194	0.90182	0.90442
0.26447	0.27042	0.37902
0.39865	0.40856	0.45663
0.50967	0.51468	0.54069
0.61459	0.61528	0.63125
0.70366	0.70246	0.71382
0.78145	0.77911	0.78825
0.30588	0.30263	0.44872
0.46268	0.46900	0.53249
0.58587	0.58990	0.62388
0.68118	0.68463	0.70784
0.35330	0.33420	0.52486
0.53477	0.53874	0.62382
0.65003	0.66482	0.71478
0.74202	0.75884	0.79240
0.81511	0.82800	0.85176
0.86975	0.87788	0.89633
0.40969	0.36988	0.61141
0.60416	0.60291	0.69565
0.70994	0.70975	0.77255
0.79082	0.78981	0.83708
0.85203	0.85164	0.88927
0.64939	0.63240	0.76830
0.12640	0.13220	0.14047
0.12640	0.13220	0.14047
0.20063	0.20338	0.20645
0.22894	0.23080	0.23271
0.29379	0.29644	0.29716
0.37549	0.37822	0.37843
0.44990	0.45201	0.45216
0.53848	0.54139	0.54145
0.62681	0.63060	0.63063
0.71583	0.71736	0.71737
0.78664	0.78879	0.78881
0.84858	0.84787	0.84788
0.89415	0.89362	0.89363
0.92917	0.92820	0.92821
0.08523	0.09910	0.13173
0.08523	0.09910	0.13173
0.17017	0.17661	0.19160
0.20008	0.20532	0.21595
0.26878	0.27166	0.27645
0.34809	0.35145	0.35342
0.41750	0.42284	0.42377
0.50304	0.50971	0.51012
0.59259	0.59815	0.59836
0.68527	0.68676	0.68686
0.76184	0.76210	0.76223
0.82657	0.82648	0.82657
0.87953	0.87780	0.87790
0.91792	0.91764	0.91773
0.11946	0.12974	0.18476
0.15720	0.16855	0.20791
0.23807	0.24600	0.26414
0.32314	0.32659	0.33436
0.39404	0.39511	0.39906
0.47944	0.47915	0.48114
0.56829	0.56813	0.56922
0.66383	0.66114	0.66177
0.74251	0.74240	0.74293
0.81199	0.81231	0.81274
0.86764	0.86750	0.86793
0.90998	0.90964	0.90998
0.09574	0.09651	0.20235
0.18708	0.19863	0.25663
0.29309	0.30081	0.32429
0.37175	0.37454	0.38683
0.46017	0.46055	0.46683
0.54758	0.54989	0.55379
0.64350	0.64441	0.64666
0.72567	0.72771	0.72949
0.80107	0.80044	0.80184
0.85918	0.85856	0.85978
0.90350	0.90339	0.90442
0.23917	0.24854	0.31780
0.33841	0.34600	0.37902
0.43662	0.44002	0.45663
0.53002	0.53154	0.54069
0.62621	0.62540	0.63125
0.71173	0.70919	0.71382
0.78788	0.78463	0.78825
0.27161	0.27885	0.37237
0.40208	0.40839	0.44872
0.50565	0.51063	0.53249
0.60888	0.61091	0.62388
0.69691	0.69818	0.70784
0.33629	0.33765	0.43854
0.47356	0.47594	0.52486
0.58557	0.59364	0.62382
0.68048	0.69485	0.71478
0.40806	0.40790	0.52065
0.55577	0.55873	0.61141
0.65750	0.66132	0.69565
0.45939	0.44032	0.58871
0.56070	0.55593	0.64295
0.63987	0.63737	0.69634
0.70208	0.69894	0.74756
0.75297	0.75185	0.79395
0.80144	0.80037	0.83646
0.83810	0.84092	0.87426
0.57147	0.56303	0.68651
0.69234	0.68798	0.76506
0.77870	0.77448	0.83314
0.62770	0.60016	0.76176
0.42075	0.42973	0.61696
0.60468	0.62344	0.70074
0.21441	0.22851	0.35430
0.36730	0.38253	0.43520
0.49123	0.50182	0.52792
0.59603	0.60272	0.61696
0.68656	0.69165	0.70074
0.43808	0.45018	0.56160
0.58633	0.59819	0.65028
0.68549	0.68835	0.77586
0.50565	0.48892	0.69769
0.13789	0.15205	0.23267
0.23256	0.24542	0.28445
0.32826	0.33509	0.35430
0.42275	0.42606	0.43520
0.52229	0.52375	0.52792
0.61409	0.61460	0.61696
0.69782	0.69923	0.70074
0.77208	0.77197	0.77309
0.83367	0.83239	0.83325
0.88082	0.88040	0.88109
0.15185	0.14977	0.31257
0.29823	0.31119	0.38547
0.43277	0.44198	0.47283
0.53791	0.54535	0.56160
0.63683	0.64105	0.65028
0.42572	0.43532	0.52187
0.56162	0.57075	0.61182
0.67111	0.67432	0.69769
0.75852	0.75980	0.77586
0.32848	0.28525	0.58206
0.70101	0.70243	0.75284
0.57670	0.57957	0.66984
0.32848	0.28525	0.58206
0.05718	0.06145	0.13792
0.11720	0.13088	0.17917
0.20323	0.21294	0.23267
0.26981	0.27452	0.28445
0.34822	0.35005	0.35430
0.43281	0.43340	0.43520
0.52868	0.52716	0.52792
0.61605	0.61658	0.61696
0.69829	0.70050	0.70074
0.77305	0.77292	0.77309
0.83391	0.83312	0.83325
0.88132	0.88097	0.88109
0.15877	0.17032	0.25128
0.26935	0.27883	0.31257
0.36393	0.37017	0.38547
0.46162	0.46578	0.47283
0.55440	0.55790	0.56160
0.64782	0.64830	0.65028
0.25266	0.26152	0.35398
0.39018	0.39944	0.43563
0.49813	0.50412	0.52187
0.59788	0.60216	0.61182
0.21899	0.20110	0.41009
0.40897	0.41752	0.49316
0.53978	0.54688	0.58206
0.64859	0.65033	0.66984
0.74022	0.73986	0.75284
0.41397	0.40952	0.55812
0.69761	0.69688	0.73232
0.58399	0.58577	0.64599
0.41397	0.40952	0.55812
